name,age,gender,relationship_status,region,hair_colour,eye_colour,height(cm)
Lee Firth,22,M,Married,South America,Bald,Blue,189
Elisa Caine,65,F,Married,Asia,Blonde,Brown,168
James Mcgill,94,M,Divorced,North America,Grey,Grey,193
Kyra Brown,33,F,Divorced,Asia,Red,Brown,172
Elisa Stallard,54,F,Single,Europe,Grey,Green,175
Ronald Marsden,111,M,Divorced,Oceania,Blonde,Green,185
Lisa Caine,88,F,Divorced,Asia,Red,Brown,161
Reena James,95,F,Married,South America,Blonde,Green,159
Ella Nguyen,24,F,Married,North America,Bald,Grey,142
Beth White,103,F,Single,Oceania,Bald,Brown,158
Eric Beneke,76,M,Married,Europe,Black,Blue,186
Julie Walker,56,F,Divorced,North America,Blonde,Brown,161
Adam White,116,M,Married,Asia,Black,Blue,194
Kyle Marsden,81,M,Single,Europe,Bald,Brown,179
Hollie Caine,114,F,Married,South America,Grey,Brown,170
Hayley Hinch,46,F,Single,North America,Red,Green,184
David Lee,113,M,Married,Europe,Grey,Grey,190
Matthew Nguyen,75,M,Divorced,Europe,Red,Grey,189
Kyle Shipman,43,M,Married,Africa,Red,Grey,168
Allison Walker,96,F,Single,Europe,Black,Brown,145
Lucille Hufford,102,F,Divorced,Africa,Black,Blue,187
Ronald Gosling,24,M,Single,Europe,Black,Brown,187
Jess Hufford,87,F,Married,North America,Grey,Blue,159
Jade Nguyen,108,F,Single,North America,Grey,Blue,174
Aubrey Nguyen,91,M,Married,North America,Black,Brown,168
Sylvia Marsden,110,F,Divorced,Africa,Black,Blue,164
Beth Brown,107,F,Married,Europe,Blonde,Green,182
Fiona Brown,91,F,Single,Africa,Black,Brown,186
Jeff Potts,70,M,Married,North America,Black,Green,185
Alex Lee,49,M,Married,Africa,Blonde,Blue,187
Jade Daniels,19,F,Single,Europe,Black,Blue,165
David Anderson,88,M,Married,Asia,Red,Brown,163
Jenny Pinkman,30,F,Single,Oceania,Red,Brown,150
Lee Marsden,52,M,Married,Europe,Black,Green,164
Hollie Lee,111,F,Divorced,Oceania,Bald,Grey,171
Daniel Baldwin,23,M,Divorced,Africa,Bald,Green,182
Kyra Brown,74,F,Divorced,Europe,Blonde,Grey,170
Robert Gosling,116,M,Married,South America,Blonde,Blue,165
Kenny Shipman,75,M,Divorced,Africa,Bald,Green,190
Lewis Shipman,106,M,Married,North America,Black,Brown,157
Ken Caine,91,M,Married,Europe,Black,Brown,183
Alex Firth,106,M,Divorced,Oceania,Grey,Blue,158
Jackie Anderson,43,F,Divorced,Asia,Bald,Brown,186
Eric Beneke,50,M,Divorced,Oceania,Bald,Green,171
Ethan Marsden,73,M,Divorced,Africa,Red,Brown,190
Laura James,27,F,Married,South America,Bald,Brown,172
Sylvia Walker,41,F,Married,Europe,Blonde,Green,154
Jeff Shipman,112,M,Married,Europe,Bald,Green,189
Kyle Jacques,94,M,Married,South America,Bald,Green,157
Kenny Shipman,62,M,Divorced,Africa,Grey,Blue,184
Jenny Beneke,79,F,Married,Europe,Grey,Grey,179
Kyle Stallard,63,M,Married,South America,Grey,Blue,180
Laura Pinkman,113,F,Single,Oceania,Red,Blue,179
Stan Stallard,107,M,Married,South America,Blonde,Grey,177
David Nguyen,115,M,Married,Europe,Bald,Grey,175
Stan Firth,75,M,Single,Europe,Grey,Grey,161
David Gosling,101,M,Married,North America,Red,Brown,188
John Lee,53,M,Divorced,Europe,Red,Grey,157
Ronald Pinkman,44,M,Divorced,Asia,Blonde,Brown,168
Robert Firth,50,M,Married,Europe,Blonde,Grey,177
Laura Gosling,29,F,Single,Oceania,Grey,Blue,172
John Anderson,109,M,Single,Europe,Grey,Green,182
Elisa Clark,86,F,Divorced,North America,Red,Brown,170
Aubrey Lee,75,M,Single,Asia,Red,Grey,196
Kenny Baldwin,39,M,Divorced,Oceania,Red,Grey,180
Ben Clark,40,M,Married,South America,Red,Brown,167
Alexa Mcgill,16,F,Single,North America,Black,Green,146
Hayley Potts,99,F,Married,South America,Blonde,Brown,142
Luke Smith,113,M,Married,Europe,Bald,Brown,184
Robert Baldwin,29,M,Single,Africa,Blonde,Green,166
Lewis Arnold,92,M,Single,Africa,Grey,Green,196
Adam Anderson,85,/,Divorced,South America,Red,Grey,168
Stan Marsden,89,M,Single,North America,Red,Blue,176
David Daniels,23,M,Married,North America,Bald,Brown,162
Steven Lee,82,M,Single,Africa,Blonde,Grey,165
Adam Mcgill,113,M,Single,North America,Grey,Grey,183
Ken Gosling,48,M,Divorced,Oceania,Blonde,Green,171
Ken Caine,58,M,Divorced,Oceania,Bald,Green,175
